insee,population
74001,1297
74002,1631
74003,791
74004,264
74005,3022
74006,1080
74007,1757
74008,5811
74009,594
74010,50324
74011,18892
74012,27238
74013,1765
74014,1695
74015,689
74016,1256
74018,1142
74019,1887
74020,939
74021,1167
74022,615
74024,1815
74025,1097
74026,3726
74027,328
74029,328
74030,226
74031,1294
74032,1157
74033,853
74034,340
74035,428
74036,248
74037,1412
74038,831
74040,2099
74041,239
74042,10457
74043,3980
74044,546
74045,174
74046,344
74048,670
74049,383
74050,569
74051,518
74052,698
74053,729
74054,517
74055,337
74056,9829
74057,753
74058,719
74059,178
74060,115
74061,598
74062,757
74063,1195
74064,1061
74065,382
74066,137
74067,1883
74068,257
74069,365
74070,1274
74071,154
74072,196
74073,502
74074,306
74075,939
74076,1364
74077,707
74078,331
74079,472
74080,2026
74081,17720
74082,3163
74083,1992
74084,261
74085,1126
74086,350
74087,1345
74088,619
74089,878
74090,936
74091,175
74093,16442
74094,4361
74095,167
74096,3184
74097,1280
74098,773
74099,1031
74100,603
74101,395
74102,916
74103,1710
74104,2780
74105,3871
74106,1830
74107,70
74108,798
74109,719
74110,461
74111,168
74112,3233
74114,352
74116,1089
74117,630
74118,1429
74119,7278
74120,1062
74121,681
74122,411
74123,6305
74124,1231
74126,590
74127,1153
74128,2442
74129,195
74130,335
74131,1596
74133,9949
74134,1352
74135,448
74136,2130
74137,2606
74138,1161
74139,634
74140,729
74141,685
74142,709
74143,2708
74144,515
74145,540
74146,974
74147,729
74148,258
74150,1140
74151,348
74152,720
74153,1212
74154,2002
74155,602
74156,512
74157,1042
74158,860
74159,2800
74160,790
74161,1405
74162,707
74163,1435
74164,5327
74165,630
74166,1283
74167,699
74168,441
74169,4450
74170,607
74171,1150
74172,1018
74173,4518
74174,366
74175,279
74176,1668
74177,611
74178,509
74179,630
74180,1435
74181,2005
74182,7697
74183,1739
74184,498
74185,1792
74186,374
74187,192
74188,768
74189,1155
74190,503
74191,2959
74192,851
74193,704
74194,646
74195,269
74196,357
74197,785
74198,862
74199,361
74200,2214
74201,1127
74202,472
74203,58
74204,737
74205,786
74206,683
74208,10094
74209,1060
74210,1919
74211,2106
74212,871
74213,5486
74215,1083
74216,622
74217,2615
74218,4951
74219,882
74220,5266
74221,375
74222,420
74223,393
74224,8545
74225,11223
74226,517
74228,198
74229,2487
74231,361
74232,392
74233,1617
74234,799
74235,305
74236,5290
74237,564
74238,1028
74239,1007
74240,745
74241,2754
74242,5000
74243,9191
74244,603
74245,1739
74249,1700
74250,5057
74252,586
74253,606
74254,512
74255,1552
74256,14387
74257,474
74258,2324
74259,333
74260,500
74261,347
74262,661
74263,4283
74264,6164
74265,487
74266,819
74267,3422
74268,16367
74269,1800
74270,478
74271,285
74272,2878
74273,708
74274,389
74275,1447
74276,3138
74278,4869
74279,592
74280,5189
74281,28980
74282,2558
74283,840
74284,1120
74285,255
74286,604
74287,613
74288,2195
74289,1278
74290,390
74291,242
74292,739
74293,2503
74294,558
74295,217
74296,528
74297,312
74298,5300
74299,2064
74301,667
74302,899
74303,2067
74304,676
74305,6983
74306,396
74307,456
74308,659
74309,3030
74310,1022
74311,3374
74312,963
74313,274
74314,786
74315,631
